,exon_number,BRAIN/HTSEQ_SRR1747143.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747147.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747148.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747155.bam_OUTPUT.txt,BRAIN/HTSEQ_SRR1747156.bam_OUTPUT.txt,BRAIN/HTSEQ_SRX834738.bam_OUTPUT.txt,BRAIN/HTSEQ_SRX834742.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_1.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_2.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_3_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_Brother_4_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_1.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_2.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_3_unstimulated.bam_OUTPUT.txt,T_CELLS//HTSEQ_HD_4_unstimulated.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460835.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460842.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460845.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460848.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460854.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460866.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460868.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460869.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460871.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460878.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460890.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460893.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460894.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460922.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460934.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460951.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460954.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460955.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460960.bam_OUTPUT.txt,RETINA//HTSEQ_SRR7460976.bam_OUTPUT.txt
1,1,0,0,0,0,1.42881615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1.134874451,3.05111082,0.641465341,0.741254041,4.286448451,0,5.2140866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,5.106935029,3.813888525,1.924396023,4.076897226,6.429672677,6.450229082,7.821129901,0,0.878673389,0,0,0,0,0,0,2.791107083,2.439441923,0,3.483561164,1.026952279,0,5.720173734,1.743632629,0,0,0,0,4.66027428,3.045855389,1.433542317,1.154334174,2.916765422,1.402731467,0,1.291055574
4,4,6.809246705,6.864999344,4.490257388,6.300659349,9.287304978,7.525267262,7.821129901,0,1.757346778,0,0,0,0,0,0,4.186660624,1.626294616,1.846606911,6.967122328,3.080856836,1.204239602,5.720173734,3.487265258,1.497856327,1.334489947,0,1.950652482,10.48561713,6.091710778,2.867084634,3.463002523,1.458382711,2.805462934,0,5.164222294
5,5,3.404623353,6.102221639,5.131722729,5.930032328,13.57375343,2.150076361,3.476057734,0.841105091,0.878673389,0,0,0,0,0,0,0,0.813147308,1.846606911,3.483561164,1.026952279,1.204239602,1.430043434,3.487265258,1.497856327,0,0,0.975326241,8.15547999,5.330246931,0,3.463002523,2.916765422,2.805462934,0,3.873166721
6,6,8.511558381,6.864999344,6.414653412,10.37755657,19.28901803,4.300152721,7.821129901,0.841105091,0.878673389,0,0,0,0,0,0,4.186660624,2.439441923,0,1.741780582,2.053904557,0,1.430043434,3.487265258,4.49356898,0,0,0.975326241,8.15547999,3.045855389,2.867084634,3.463002523,1.458382711,15.43004613,0,1.291055574
7,7,13.05105618,13.72999869,6.414653412,12.23069168,20.00342611,2.150076361,9.559158767,1.682210181,0.878673389,0,0,0,0,0,0,6.977767707,3.252589231,3.693213822,3.483561164,6.161713671,2.408479204,7.150217168,6.974530516,2.995712654,2.668979893,0,3.901304964,15.14589141,6.853174626,4.300626951,10.38900757,1.458382711,15.43004613,0,5.164222294
8,8,7.944121156,9.916110164,5.77318807,6.300659349,13.57375343,3.225114541,4.345072167,0.841105091,0,0,0,0,0,0,0,2.791107083,6.505178462,0,5.225341746,6.161713671,7.225437612,10.01030404,3.487265258,7.489281634,4.00346984,7.554442973,8.777936168,17.47602855,9.137566168,4.300626951,11.54334174,2.916765422,15.43004613,0,7.746333441
9,9,25.53467514,21.35777574,15.39516819,21.86699421,42.86448451,9.675343623,17.38028867,4.205525454,1.757346778,1.402846318,0,0.374238257,0,0,0,4.186660624,6.505178462,0,5.225341746,1.026952279,7.225437612,10.01030404,3.487265258,7.489281634,2.668979893,7.554442973,7.802609928,18.64109712,7.614638473,4.300626951,9.234673395,1.458382711,22.44370347,3.801264874,6.455277868
10,10,19.29286566,17.54388721,8.980514776,15.93696188,45.00770874,12.90045816,10.4281732,3.364420363,0.878673389,0.701423159,0,0.748476515,0,0,0,1.395553541,4.065736539,0,0,2.053904557,2.408479204,1.430043434,0,1.497856327,2.668979893,5.036295315,0,18.64109712,4.568783084,1.433542317,5.771670872,2.916765422,14.02731467,1.900632437,5.164222294
11,11,10.78130728,10.67888787,5.77318807,10.74818359,21.43224226,5.375190901,6.083101034,0,0,0,0,0,0,0,0,5.582214165,6.505178462,1.846606911,1.741780582,3.080856836,3.612718806,4.290130301,0,1.497856327,1.334489947,5.036295315,4.876631205,13.98082284,7.614638473,1.433542317,10.38900757,8.750296265,14.02731467,7.602529747,6.455277868
